sessionid,channel,ad,ad_name,platform,ad_country
None,Organic/Direct,,,,
oEGfUXO9MMV1VLlgffPd1sdbLTmISSSX,Organic/Direct,,,,
UVv5ENvC0XPKFPwylx9IE4XyTx7PgU20,Organic/Direct,,,,
OIHTuZ6Bd3yiNK9F1drRm1k53UXbuFQk,Organic/Direct,,,,
K9Q6U2vZ2fszif2WDB20n8lNGPMPJiRi,Organic/Direct,,,,
nuJiKoUXLso5EHCabCkLxAggVIq14Mm7,Organic/Direct,,,,
fXEvxL1GFNIfbAoGKUu1bpphckpat0D7,Organic/Direct,,,,
hmiJhyu8TE93gdCCUHep0P233xlcpPLV,Organic/Direct,,,,
bVgAn55akcgCzRJyyRL00nb7qKA0PEIE,Organic/Direct,,,,
3v7XCxQRHFgCoKxdusWOWk1Fk1DIQhF2,Organic/Direct,,,,
VAaugvnXSb1RWCCGk59I9on6gq0P13Qr,Organic/Direct,,,,
uC3yxvHpFXaF6SwEkOTnt50hcTAMPozA,Organic/Direct,,,,
h1ER1bvdw3A6CH2tgP4bTUbiIg9dlVTk,Organic/Direct,,,,
rWoR4CGyW8fOuNr53hVqZWAfCtc8pE0F,Organic/Direct,,,,
NcAW9zkvMqHNTIVNQXc5bTT4Cv9rcgLy,Organic/Direct,,,,
cNcfks0oxEoihZn8T4gcuNk9IDenIKAg,Organic/Direct,,,,
0JuiFmln6fhsam76a64e6xciNzokTPp2,Organic/Direct,,,,
PBn93r4Lb5hUbO1itUwPNJBlCTLLuFmU,Organic/Direct,,,,
714x8ATsdcBGq2dMcTsmZtWZSvbFfLrN,Organic/Direct,,,,
ZAv1Fw2iAdiBfhhRwZuS2qxLPcKovuaA,Organic/Direct,,,,
BT52FzEWOpkMpRt7E75zHl7ZuTF4mfoK,Organic/Direct,,,,
prs6INmXqyOav0OgOPqeuVATxtXJFJWm,Organic/Direct,,,,
Rwqhnrc5t0E75uJZuWRkNh7GZm6JEbGa,Organic/Direct,,,,
UPXkNv5wUVxSEwPck3CBntcxVuFOHr6q,Organic/Direct,,,,
s8bRbfWtIliBDzyZGv7UF8DO37oMcNGM,Organic/Direct,,,,
icu4cSGqa25B7UQtVQhFeVKyyTOPaLhX,Organic/Direct,,,,
HmhoRcaKwEvXpiJyN3u2oD2if9fQv4r3,Organic/Direct,,,,
7OVM250ycyW0sH20icgvFQlkhwQGa3T4,Organic/Direct,,,,
W6pr5his9bQu6UWFffePbeFHeTQDHz6B,Organic/Direct,,,,
b3aRWn4Hgyu67UWx4A5TpHpicexz53Hg,Organic/Direct,,,,
Lhlv0IwvrF7X8s7t2aUgKi7bGiSTpFME,Organic/Direct,,,,
xms1WeTUp9INBvOI77tJ9R0ymA8OUN5s,Organic/Direct,,,,
zFO3eTCziKAskEVF1K9NlLgbw722hN9B,Organic/Direct,,,,
8f5hQ70mmfqJBbP0GrCecdbCN0XkUtIL,Organic/Direct,,,,
JTaeJttE9lB28qDyeELz8OKCB911A3Tr,Organic/Direct,,,,
DQhzyKGVOag3lTehP2ohlxfpcyW5v7ur,Organic/Direct,,,,
qgBP6EQBpWGMzKPUFClpoiFvRkBCP5Pd,Organic/Direct,,,,
UTNIOWmiC59FXQOxUKJk92c61XDbV2SG,Organic/Direct,,,,
7Ktb3JBa8oHTWczGfXr12ORtLnJ889pc,Organic/Direct,,,,
cADI8FclMRwscHfxSZOFw1EoDweBXmnz,Organic/Direct,,,,
D2eA6dUoT47QCLrT4Zfu8a2nqfs1zykk,Organic/Direct,,,,
PVhqIZ7lO8p0GZRHvcBXQyLtBFSWlT5z,Organic/Direct,,,,
zuSVHotKQURsTLSH7SRf8PMz6z3XDdWZ,Organic/Direct,,,,
ACH23ZnFnLxpZoaX7DCwzsWLXA56UTSd,Organic/Direct,,,,
dCBE1wTsTXlRSuxLGU8fKTsZQrDPsAa3,Organic/Direct,,,,
NgH3My2copancZnZ534Hnut8uqgFyvZJ,Organic/Direct,,,,
oJmxgmnIT2AZk2zUlkiwSGgSio2ayP55,Organic/Direct,,,,
x5H2MfgxrZnoyOGCWKUahOfWCFLhcZ8d,Organic/Direct,,,,
FTiBWvf98d0HcICpd7hRq81HXO1f1P9P,Organic/Direct,,,,
