cohort_month,customers,first_purchase_revenue,repeat_within_3m,repeat_rate_3m_%,repeat_within_6m,repeat_rate_6m_%
2016-09,47,702.715,6,12.77,7,14.89
2016-10,266,3963.85,20,7.52,20,7.52
2016-11,315,4755.58,25,7.94,29,9.21
2016-12,391,6121.385,24,6.14,31,7.93
2017-01,271,4303.975,22,8.12,25,9.23
2017-02,298,4330.41,24,8.05,30,10.07
2017-03,461,6879.995,28,6.07,32,6.94
2017-04,299,4285.705,33,11.04,39,13.04
2017-05,352,5204.615,16,4.55,17,4.83
2017-06,353,5333.385,18,5.1,22,6.23
2017-07,423,6373.1745,33,7.8,37,8.75
2017-08,366,5572.865,26,7.1,29,7.92
2017-09,322,4661.445,24,7.45,28,8.7
2017-10,295,4279.815,26,8.81,28,9.49
2017-11,316,4886.375,27,8.54,31,9.81
2017-12,426,6665.38,26,6.1,32,7.51
2018-01,256,3802.47,23,8.98,28,10.94
2018-02,323,4670.045,20,6.19,26,8.05
2018-03,460,6724.195,28,6.09,32,6.96
2018-04,325,4723.68,28,8.62,37,11.38
2018-05,369,5361.4775,33,8.94,36,9.76
2018-06,495,7254.9605,39,7.88,46,9.29
2018-07,2886,42744.52265,267,9.25,299,10.36
2018-08,3017,43841.959,288,9.55,320,10.61
2018-09,2049,32407.625,141,6.88,170,8.3
2018-10,1513,26768.41,115,7.6,134,8.86
2018-11,1340,23334.33,85,6.34,103,7.69
2018-12,1303,25192.93,89,6.83,113,8.67
2019-01,1116,20483.0,75,6.72,87,7.8
2019-02,1371,24752.7875,114,8.32,128,9.34
2019-03,1546,28000.369,128,8.28,146,9.44
2019-04,1422,25176.52085,93,6.54,110,7.74
2019-05,1747,32083.4137,115,6.58,128,7.33
2019-06,1618,29515.75735,123,7.6,137,8.47
2019-07,1933,36519.0327,130,6.73,139,7.19
2019-08,1796,33061.96535,128,7.13,143,7.96
2019-09,1133,20877.7116,79,6.97,92,8.12
2019-10,905,16690.30015,64,7.07,77,8.51
2019-11,1183,22102.2615,66,5.58,74,6.26
2019-12,1410,26999.6472,85,6.03,91,6.45
2020-01,1116,19987.2875,63,5.65,72,6.45
2020-02,1345,24209.1346,98,7.29,113,8.4
2020-03,993,18813.1502,103,10.37,123,12.39
2020-04,444,8782.6094,32,7.21,35,7.88
2020-05,1033,20839.002,74,7.16,83,8.03
2020-06,1449,31919.6638,94,6.49,113,7.8
2020-07,1619,35173.8616,118,7.29,129,7.97
2020-08,1739,38303.98955,118,6.79,136,7.82
2020-09,1394,30210.78315,86,6.17,102,7.32
2020-10,1311,28826.30675,77,5.87,93,7.09
2020-11,1528,35617.8227,109,7.13,118,7.72
2020-12,1829,44076.5822,104,5.69,119,6.51
2021-01,1367,29772.428399999997,93,6.8,115,8.41
2021-02,1472,30857.06755,72,4.89,93,6.32
2021-03,1707,36902.6466,82,4.8,98,5.74
2021-04,1730,37457.162449999996,103,5.95,128,7.4
2021-05,1758,38275.96885,117,6.66,135,7.68
2021-06,1531,33634.824049999996,181,11.82,189,12.34
2021-07,1906,42456.7157,144,7.56,163,8.55
2021-08,2346,52222.26985,189,8.06,205,8.74
2021-09,2148,47972.795849999995,151,7.03,176,8.19
2021-10,1549,38124.0174,116,7.49,128,8.26
2021-11,1263,32759.164,105,8.31,117,9.26
2021-12,1640,46913.4981,149,9.09,155,9.45
2022-01,946,22670.7245,82,8.67,97,10.25
2022-02,1002,23944.63875,68,6.79,81,8.08
2022-03,1147,26773.93195,69,6.02,83,7.24
2022-04,1168,26606.158799999997,76,6.51,87,7.45
2022-05,1303,30610.382849999998,100,7.67,112,8.6
2022-06,1493,36411.6887,112,7.5,133,8.91
2022-07,1427,32427.632299999997,101,7.08,118,8.27
2022-08,1101,22929.5684,78,7.08,86,7.81
2022-09,785,16453.267,46,5.86,59,7.52
2022-10,711,17844.93285,53,7.45,59,8.3
2022-11,842,22070.5281,57,6.77,65,7.72
2022-12,1224,33411.85205,64,5.23,72,5.88
2023-01,673,16840.28835,40,5.94,47,6.98
2023-02,803,19144.8283,45,5.6,58,7.22
2023-03,1079,25783.3412,56,5.19,64,5.93
2023-04,998,23814.8765,74,7.41,86,8.62
2023-05,1052,26163.2269,70,6.65,78,7.41
2023-06,1147,28246.76585,61,5.32,74,6.45
2023-07,1103,26314.5102,54,4.9,64,5.8
2023-08,895,20343.26195,38,4.25,45,5.03
2023-09,606,13819.4009,32,5.28,38,6.27
2023-10,554,11958.66875,32,5.78,42,7.58
2023-11,556,13279.899949999999,36,6.47,41,7.37
2023-12,841,19776.6779,34,4.04,44,5.23
2024-01,459,9650.93575,16,3.49,23,5.01
2024-02,598,13679.3562,39,6.52,49,8.19
2024-03,750,17868.0232,48,6.4,59,7.87
2024-04,677,15862.7697,44,6.5,50,7.39
2024-05,713,17198.56005,40,5.61,47,6.59
2024-06,747,17812.03685,44,5.89,49,6.56
2024-07,764,18540.99785,41,5.37,54,7.07
2024-08,698,16890.6025,40,5.73,43,6.16
2024-09,527,12964.6951,36,6.83,44,8.35
2024-10,498,12012.3819,31,6.22,40,8.03
2024-11,473,11057.88635,20,4.23,28,5.92
2024-12,596,16323.14785,24,4.03,35,5.87
2025-01,349,8747.5662,14,4.01,16,4.58
2025-02,331,8506.7928,19,5.74,21,6.34
2025-03,455,11340.7373,13,2.86,16,3.52
2025-04,436,10772.177599999999,22,5.05,29,6.65
2025-05,429,10909.0167,16,3.73,19,4.43
2025-06,460,11984.74515,30,6.52,31,6.74
2025-07,483,12244.61915,18,3.73,18,3.73
2025-08,526,13978.7364,23,4.37,23,4.37
2025-09,2,70.4,0,0.0,0,0.0
