country,revenue_eur,orders,cvr
ES,1211149.5929999999,63069.0,0.09207765386204048
FR,615546.465,26549.0,0.07902097902097902
GB,327256.46859999996,14168.0,0.11857180921929124
IT,198068.385,9032.0,0.06186006825938566
SE,130530.57095,6465.0,0.09448818897637795
DE,75319.04,3151.0,0.08135850969458877
US,30460.4732,1310.0,0.16666666666666666
BE,13481.869999999999,570.0,0.2206405693950178
CH,11649.53,449.0,0.3508771929824561
IE,2443.545,113.0,0.25806451612903225
CA,2276.9896,132.0,0.18181818181818182
NO,1698.39,80.0,0.09615384615384616
AU,932.8496,46.0,0.2898550724637681
PT,887.67,46.0,0.10256410256410256
DK,842.17,40.0,0.2857142857142857
AT,768.32,28.0,0.25
NL,753.68,31.0,0.014492753623188406
LU,745.12,23.0,0.3125
FI,573.17,27.0,0.25
GR,484.11,16.0,0.15384615384615385
AD,464.9,21.0,0.2631578947368421
JP,279.99600000000004,8.0,0.0
SG,174.918,6.0,0.09090909090909091
PL,111.1,4.0,0.0
NZ,109.5,7.0,0.0
BR,93.28800000000001,1.0,0.0
MX,92.9048,4.0,0.041666666666666664
CY,80.8,5.0,0.0
HU,69.69,3.0,0.14285714285714285
SA,69.0116,2.0,0.5
CZ,68.02000000000001,4.0,0.0
SI,64.9,4.0,0.0
EE,47.9,2.0,0.0
MY,41.9704,1.0,0.0
RO,39.14,2.0,0.0
MU,33.396,1.0,0.0
BG,30.0,1.0,0.0
HR,24.7,2.0,0.0
LV,16.0,1.0,0.0
RU,15.548,1.0,0.0
MT,14.9,1.0,0.0
CL,13.5,1.0,0.0
TH,0.0,0.0,0.0
TR,0.0,1.0,0.0
SK,0.0,0.0,0.0
IN,0.0,0.0,0.0
RS,0.0,0.0,0.0
LT,0.0,0.0,0.0
KR,0.0,0.0,0.0
IL,0.0,0.0,0.0
HK,0.0,0.0,0.0
GI,0.0,0.0,0.0
CO,0.0,0.0,0.0
CN,0.0,0.0,0.0
ZA,0.0,0.0,0.0
