sessionid,clicks,channel,dm_clicks,orders,had_checkout_intent,converted
1o1mni10j3ym3n1rm1f,6,organic,0,0,0,0
1o1mni10k33m3n41wwx,37,organic,0,0,0,0
1o1mni10k33m3n42bxy,6,organic,0,0,0,0
1o1mni10k33m3n475r4,6,organic,0,0,0,0
1o1mni10k33m3n4e796,10,organic,0,0,0,0
1o1mni10k33m3n4ekcf,1,organic,0,0,0,0
1o1mni10k33m3n4hizt,6,organic,0,0,0,0
1o1mni10k33m3n5c5vw,27,organic,0,0,0,0
1o1mni10k33m3n5rnkx,2,organic,0,0,0,0
1o1mni10k33m3n5smum,2,organic,0,0,0,0
1o1mni10k33m3n5w38t,9,organic,0,1,0,1
1o1mni10k33m3n5ydvq,12,organic,0,0,0,0
1o1mni10k33m3n634iq,3,organic,0,0,0,0
1o1mni10k33m3n6fbhg,1,organic,0,0,0,0
1o1mni10k33m3n6mspd,1,organic,0,0,0,0
1o1mni10k33m3n6owsk,1,organic,0,0,0,0
1o1mni10k33m3n6vwuc,6,organic,0,0,0,0
1o1mni10k33m3n71tkv,5,organic,0,0,0,0
1o1mni10k33m3n7akou,11,organic,0,1,0,1
1o1mni10k33m3n7btly,2,organic,0,0,0,0
1o1mni10k33m3n7fi2v,2,organic,0,0,0,0
1o1mni10k33m3n7g3ay,2,organic,0,0,0,0
1o1mni10k33m3n7h6ut,15,organic,0,0,0,0
1o1mni10k33m3n7i1fj,1,organic,0,0,0,0
1o1mni10k33m3n7jexh,2,organic,0,0,0,0
1o1mni10k33m3n7uupk,5,organic,0,0,0,0
1o1mni10k33m3n7vfry,6,organic,0,0,0,0
1o1mni10k33m3n7wncz,1,organic,0,0,0,0
1o1mni10k33m3n84h4v,9,organic,0,0,0,0
1o1mni10k33m3n859ee,6,organic,0,1,0,1
1o1mni10k33m3n8cd9y,1,organic,0,0,0,0
1o1mni10k33m3n8m4mw,3,organic,0,0,0,0
1o1mni10k33m3n8nluj,5,organic,0,0,0,0
1o1mni10k33m3n8srql,22,organic,0,1,0,1
1o1mni10k33m3n8ymdh,2,organic,0,0,0,0
1o1mni10k33m3n9ampu,3,organic,0,0,0,0
1o1mni10k33m3n9fxiz,14,organic,0,1,0,1
1o1mni10k33m3n9rd8g,1,organic,0,0,0,0
1o1mni10k33m3n9tts5,1,organic,0,0,0,0
1o1mni10k33m3n9uhbb,4,organic,0,0,0,0
1o1mni10k33m3n9vquj,11,organic,0,0,0,0
1o1mni10k33m3n9vy08,2,organic,0,0,0,0
1o1mni10k33m3n9x7iw,2,organic,0,0,0,0
1o1mni10k33m3na0p6p,8,organic,0,0,0,0
1o1mni10k33m3na354l,1,organic,0,0,0,0
1o1mni10k33m3na4e7l,1,organic,0,0,0,0
1o1mni10k33m3na5uyx,1,organic,0,0,0,0
1o1mni10k33m3nadg7e,2,organic,0,0,0,0
1o1mni10k33m3nah27c,9,organic,0,1,0,1
1o1mni10k33m3nb307g,6,organic,0,0,0,0
1o1mni10k33m3nb7neu,2,organic,0,0,0,0
1o1mni10k33m3nbfqk8,2,organic,0,0,0,0
